ID,Gender,Car_Owner,Property_Owner,Children,Annual_Income,Income_Type,Education,Marital_Status,Housing_Type,Mobile_ph,Work_ph,ph,Email_Id,Occupation_Type,Family_Members,Age,Work_Experience,Outcome
0,M,Y,Y,0,180000,Pensioner,Higher education,Married,House / apartment,1,0,0,0,Managers,2,51,0,1
1,F,Y,N,0,315000,Commercial associate,Higher education,Married,House / apartment,1,1,1,0,Sales staff,2,37,1.605479452,1
2,F,Y,N,0,315000,Commercial associate,Higher education,Married,House / apartment,1,1,1,0,Sales staff,2,37,1.605479452,1
3,F,Y,N,0,315000,Commercial associate,Higher education,Married,House / apartment,1,1,1,0,Core staff,2,37,1.605479452,1
4,F,Y,N,0,315000,Commercial associate,Higher education,Married,House / apartment,1,1,1,0,Sales staff,2,37,1.605479452,1
5,F,Y,N,0,315000,Pensioner,Higher education,Married,House / apartment,1,1,1,0,Sales staff,2,37,1.605479452,1
6,F,Y,N,0,315000,Commercial associate,Higher education,Married,House / apartment,1,1,1,0,Sales staff,2,37,1.605479452,1
7,F,N,N,0,180000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,Sales staff,2,61,0,1
8,M,Y,Y,1,380250,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,1,Core staff,3,50,1.857534247,1
9,M,Y,Y,1,380250,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,1,1,Core staff,3,50,1.857534247,1
10,M,Y,Y,1,380250,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,1,1,Core staff,1,50,1.857534247,1
11,F,Y,Y,0,90000,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Cooking staff,2,52,2.745205479,1
12,F,Y,Y,0,90000.69,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Cooking staff,2,52,2.745205479,1
13,F,Y,Y,0,90000,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Cooking staff,2,52,2.745205479,1
14,M,N,N,1,380250,Pensioner,Higher education,Married,With parents,1,0,0,1,Sales staff,3,24,2.501369863,1
15,M,N,Y,0,270000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2,46,0.679452055,1
16,M,N,Y,0,270000,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Laborers,2,46,0.679452055,1
17,F,N,Y,0,126000,Commercial associate,Higher education,Single / not married,House / apartment,1,0,0,0,Sales staff,1,52,6.767123288,1
18,F,N,Y,0,126000,Commercial associate,Higher education,Single / not married,House / apartment,1,0,0,0,Sales staff,1,52,6.767123288,1
19,M,N,Y,0,90000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,1,Security staff,2,52,4.504109589,1
20,M,N,N,0,202500,Working,Higher education,Single / not married,House / apartment,1,0,0,0,Sales staff,1,35,11.85479452,1
21,M,Y,Y,0,202500,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,1,Laborers,2,33,4.58630137,1
22,M,N,Y,0,157500,Commercial associate,Higher education,Civil marriage,House / apartment,1,0,0,0,Accountants,2,49,2.975342466,1
23,F,N,Y,2,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Sales staff,4,33,2.534246575,1
24,F,N,Y,0,180000,Working,Higher education,Married,House / apartment,1,0,0,0,Laborers,2,44,2.339726027,1
25,F,Y,Y,0,380250,Commercial associate,Higher education,Married,House / apartment,1,0,1,0,Drivers,2,43,0.506849315,1
26,F,N,Y,0,112500,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,1,0,Drivers,2,60,0,1
